type	latitude	longitude	name	desc
W	50.1245298	8.6716920		
W	50.1237388	8.6716813		
W	50.1239896	8.6738476		
W	50.1235380	8.6744114		
W	50.1248106	8.6734405		
W	50.1256652	8.6727029		
W	50.1256650	8.6727032		
W	50.1233720	8.6739648		
W	50.1232568	8.6735973		
W	50.1229112	8.6716205		
W	50.1227147	8.6700821		
W	50.1226046	8.6689958		
W	50.1224808	8.6679498		
W	50.1222332	8.6680141		
W	50.1226081	8.6669332		
W	50.1218566	8.6671666		
W	50.1215436	8.6652783		
W	50.1227393	8.6649055		
W	50.1234076	8.6647338		
W	50.1234884	8.6646077		
W	50.1235515	8.6648283		
W	50.1235176	8.6649242		
W	50.1234093	8.6649645		
W	50.1229587	8.6660132		
W	50.1226096	8.6669064		
W	50.1227231	8.6701221		
W	50.1235245	8.6698833		
W	50.1243001	8.6700148		
W	50.1261933	8.6709830		
W	50.1270015	8.6715597		
W	50.1277615	8.6724180		
W	50.1248675	8.6701465		
W	50.1242296	8.6698353		
W	50.1235125	8.6698311		
W	50.1233577	8.6687314		
W	50.1241333	8.6685034		
W	50.1242571	8.6698204		
W	50.1245219	8.6716711		
W	50.1241160	8.6684910		
W	50.1250635	8.6680806		
W	50.1249895	8.6672276		
W	50.1239870	8.6673928		
W	50.1241108	8.6684522		
W	50.1239750	8.6673730		
W	50.1236947	8.6656591		
W	50.1236703	8.6655162		
W	50.1235799	8.6649925		
W	50.1235627	8.6649005		
W	50.1235601	8.6648739		
W	50.1235571	8.6648463		
W	50.1233181	8.6631780		
W	50.1224379	8.6634881		
W	50.1229555	8.6659745		
W	50.1232678	8.6676678		
W	50.1239711	8.6674156		
W	50.1233641	8.6687031		
W	50.1232712	8.6676731		
W	50.1224896	8.6679521		
W	50.1232463	8.6676704		
W	50.1233495	8.6687621		
W	50.1226169	8.6690008		
W	50.1219651	8.6692342		
W	50.1222248	8.6680647		
W	50.1222231	8.6680335		
W	50.1219514	8.6692422		
W	50.1216332	8.6704117		
W	50.1227046	8.6701273		
W	50.1224283	8.6634974		
W	50.1213707	8.6638246		
W	50.1215427	8.6652623		
W	50.1235221	8.6699266		
W	50.1229512	8.6716646		
W	50.1237035	8.6655224		
W	50.1237039	8.6655233		
W	50.1249381	8.6650528		
W	50.1257051	8.6647606		
W	50.1260663	8.6647284		
W	50.1264274	8.6648465		
W	50.1257533	8.6648035		
W	50.1256776	8.6655546		
W	50.1256983	8.6658764		
W	50.1257120	8.6670137		
W	50.1258977	8.6681724		
W	50.1262210	8.6690736		
W	50.1256157	8.6696852		
W	50.1253096	8.6689341		
W	50.1250586	8.6681188		
W	50.1249485	8.6667723		
W	50.1250448	8.6654258		
W	50.1249485	8.6650932		
W	50.1249469	8.6650884		
W	50.1249384	8.6650542		
W	50.1256689	8.6654686		
W	50.1250655	8.6654580		
W	50.1256501	8.6697207		
W	50.1259115	8.6702571		
W	50.1263930	8.6704932		
W	50.1269226	8.6708258		
W	50.1218430	8.6671779		
W	50.1219651	8.6680872		
W	50.1265292	8.6676944		
W	50.1270863	8.6674906		
W	50.1268697	8.6675737		
W	50.1269282	8.6681303		
W	50.1266599	8.6682603		
W	50.1263467	8.6704412		
W	50.1265428	8.6702936		
W	50.1267904	8.6703312		
W	50.1270156	8.6704975		
W	50.1262625	8.6704170		
W	50.1265238	8.6700898		
W	50.1263502	8.6696043		
W	50.1272544	8.6674079		
W	50.1275442	8.6673208		
W	50.1270902	8.6674871		
W	50.1269415	8.6664021		
W	50.1269338	8.6664048		
W	50.1267609	8.6664464		
W	50.1267558	8.6664491		
W	50.1269381	8.6663941		
W	50.1271582	8.6658871		
W	50.1291669	8.6681755		
W	50.1289606	8.6668612		
W	50.1293234	8.6675398		
W	50.1256632	8.6726397		
W	50.1256271	8.6725566		
W	50.1240090	8.6738467		
W	50.1232936	8.6736321		
W	50.1221448	8.6732030		
W	50.1221878	8.6740452		
W	50.1227553	8.6740291		
W	50.1221431	8.6731762		
W	50.1220606	8.6715990		
W	50.1228792	8.6716580		
W	50.1282984	8.6653912		
W	50.1282417	8.6650318		
W	50.1280835	8.6650774		
W	50.1281110	8.6653080		
W	50.1282640	8.6652678		
W	50.1287627	8.6669361		
W	50.1279407	8.6660698		
W	50.1279693	8.6663619		
W	50.1279992	8.6666465		
W	50.1277499	8.6667564		
W	50.1277482	8.6668906		
W	50.1277560	8.6669718		
W	50.1273992	8.6670550		
W	50.1273064	8.6665614		
W	50.1279563	8.6663629		
W	50.1284155	8.6659045		
W	50.1285771	8.6668889		
W	50.1287043	8.6668433		
W	50.1285771	8.6659126		
W	50.1284240	8.6659582		
W	50.1288195	8.6682676		
W	50.1288247	8.6683722		
W	50.1283450	8.6685116		
W	50.1283570	8.6686270		
W	50.1270715	8.6711564		
W	50.1271833	8.6710464		
W	50.1270354	8.6707836		
W	50.1269718	8.6708587		
W	50.1257011	8.6669815		
W	50.1255257	8.6670163		
W	50.1255566	8.6671612		
W	50.1256925	8.6673033		
W	50.1257097	8.6674616		
W	50.1256306	8.6675823		
W	50.1256357	8.6677298		
W	50.1258008	8.6676815		
W	50.1259349	8.6682904		
W	50.1257458	8.6684245		
W	50.1258386	8.6686954		
W	50.1260209	8.6685425		
W	50.1256942	8.6660722		
W	50.1254242	8.6660668		
W	50.1254483	8.6664558		
W	50.1256925	8.6664638		
W	50.1263313	8.6656632		
W	50.1259968	8.6656055		
W	50.1257419	8.6649134		
W	50.1251117	8.6650917		
W	50.1250799	8.6653734		
W	50.1257093	8.6649268		
W	50.1234086	8.6647395		
W	50.1234086	8.6649621		
W	50.1259997	8.6636418		
W	50.1263935	8.6632100		
W	50.1265482	8.6632100		
W	50.1266531	8.6634567		
W	50.1265568	8.6632127		
W	50.1269626	8.6630437		
W	50.1272515	8.6629042		
W	50.1273392	8.6628425		
W	50.1273598	8.6629418		
W	50.1272240	8.6633039		
W	50.1273633	8.6629337		
W	50.1274785	8.6630732		
W	50.1277227	8.6631778		
W	50.1271852	8.6633349		
W	50.1272488	8.6642093		
W	50.1273331	8.6644105		
W	50.1273623	8.6646277		
W	50.1277708	8.6656324		
W	50.1279514	8.6660428		
W	50.1281267	8.6654795		
W	50.1275301	8.6662145		
W	50.1275370	8.6662493		
W	50.1273788	8.6663110		
W	50.1273874	8.6663405		
W	50.1276367	8.6662440		
W	50.1276676	8.6665095		
W	50.1275060	8.6665739		
W	50.1276298	8.6672927		
W	50.1279961	8.6666517		
W	50.1280820	8.6671371		
W	50.1280133	8.6685694		
W	50.1275610	8.6673329		
W	50.1274647	8.6688269		
W	50.1271380	8.6695055		
W	50.1271483	8.6681859		
W	50.1270778	8.6693419		
W	50.1278826	8.6696504		
W	50.1280167	8.6695833		
W	50.1281095	8.6692615		
W	50.1283039	8.6704819		
W	50.1283051	8.6704862		
W	50.1281164	8.6692749		
W	50.1263706	8.6665778		
W	50.1266749	8.6664840		
W	50.1266801	8.6664786		
W	50.1279574	8.6660622		
W	50.1277442	8.6667167		
W	50.1277993	8.6672290		
W	50.1276445	8.6672826		
W	50.1279815	8.6660729		
W	50.1277631	8.6667113		
W	50.1275551	8.6667945		
W	50.1315148	8.6684258		
W	50.1315096	8.6685841		
W	50.1289133	8.6725859		
W	50.1288153	8.6718564		
W	50.1272512	8.6657623		
W	50.1272392	8.6656577		
W	50.1270844	8.6657221		
W	50.1278322	8.6631725		
W	50.1278872	8.6634514		
W	50.1280041	8.6636419		
W	50.1282036	8.6637921		
W	50.1283222	8.6639074		
W	50.1273531	8.6733132		
W	50.1278484	8.6729967		
W	50.1280891	8.6729484		

type	latitude	longitude	name	desc
T	50.1313147	8.6623316	lastverisongraph	Length: 0.272 km (0.169 mi)
T	50.1313164	8.6623262
T	50.1302280	8.6623155
T	50.1289006	8.6623798
T	50.1288761	8.6623771
